timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745350845.710291,192.168.100.5,192.168.100.4,TCP,46716,22,PA,82,ssh_brute_force
1745350845.711464,192.168.100.4,192.168.100.5,TCP,22,46748,PA,558,ssh_brute_force
1745350845.712394,192.168.100.5,192.168.100.4,TCP,46748,22,PA,82,ssh_brute_force
1745350845.742566,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350845.743807,192.168.100.5,192.168.100.4,TCP,46718,22,PA,110,ssh_brute_force
1745350845.743884,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350845.744025,192.168.100.4,192.168.100.5,TCP,22,46718,PA,110,ssh_brute_force
1745350845.744814,192.168.100.5,192.168.100.4,TCP,46718,22,PA,126,ssh_brute_force
1745350845.746303,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350845.747406,192.168.100.5,192.168.100.4,TCP,46718,22,PA,150,ssh_brute_force
1745350845.750259,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350845.750686,192.168.100.5,192.168.100.4,TCP,46736,22,PA,110,ssh_brute_force
1745350845.750711,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350845.750824,192.168.100.4,192.168.100.5,TCP,22,46736,PA,110,ssh_brute_force
1745350845.751631,192.168.100.5,192.168.100.4,TCP,46736,22,PA,126,ssh_brute_force
1745350845.752878,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350845.753613,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350845.755969,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350845.756165,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350845.757013,192.168.100.5,192.168.100.4,TCP,46748,22,PA,110,ssh_brute_force
1745350845.757013,192.168.100.5,192.168.100.4,TCP,46716,22,PA,110,ssh_brute_force
1745350845.757086,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350845.757161,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350845.757194,192.168.100.4,192.168.100.5,TCP,22,46748,PA,110,ssh_brute_force
1745350845.757511,192.168.100.4,192.168.100.5,TCP,22,46716,PA,110,ssh_brute_force
1745350845.757903,192.168.100.5,192.168.100.4,TCP,46748,22,PA,126,ssh_brute_force
1745350845.759120,192.168.100.5,192.168.100.4,TCP,46716,22,PA,126,ssh_brute_force
1745350845.759137,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350845.759959,192.168.100.5,192.168.100.4,TCP,46748,22,PA,150,ssh_brute_force
1745350845.760976,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350845.761821,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350845.794154,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350845.794553,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350845.806359,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350845.806578,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350847.437845,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350847.439843,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350847.439867,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350849.098660,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350849.100322,192.168.100.5,192.168.100.4,TCP,46718,22,PA,150,ssh_brute_force
1745350849.100348,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350849.104887,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350849.111856,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350849.112266,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350849.112285,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350849.127731,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350849.127765,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350850.791778,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350850.793388,192.168.100.5,192.168.100.4,TCP,46716,22,PA,150,ssh_brute_force
1745350850.793411,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350852.451763,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350852.453299,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350852.453320,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350852.464137,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350852.466014,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350852.466032,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350852.479121,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350852.479980,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350852.480000,192.168.100.4,192.168.100.5,TCP,22,46748,A,66,ssh_brute_force
1745350854.142071,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350854.144328,192.168.100.5,192.168.100.4,TCP,46736,22,PA,150,ssh_brute_force
1745350854.144360,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350854.145210,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350854.154705,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350854.154724,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
1745350855.804927,192.168.100.4,192.168.100.5,TCP,22,46718,PA,118,ssh_brute_force
1745350855.806521,192.168.100.5,192.168.100.4,TCP,46718,22,PA,142,ssh_brute_force
1745350855.806540,192.168.100.4,192.168.100.5,TCP,22,46718,A,66,ssh_brute_force
1745350855.821090,192.168.100.4,192.168.100.5,TCP,22,46736,PA,118,ssh_brute_force
1745350855.822507,192.168.100.5,192.168.100.4,TCP,46736,22,PA,142,ssh_brute_force
1745350855.822527,192.168.100.4,192.168.100.5,TCP,22,46736,A,66,ssh_brute_force
1745350855.830668,192.168.100.4,192.168.100.5,TCP,22,46716,PA,118,ssh_brute_force
1745350855.831141,192.168.100.4,192.168.100.5,TCP,22,46748,PA,118,ssh_brute_force
1745350855.832958,192.168.100.5,192.168.100.4,TCP,46716,22,PA,142,ssh_brute_force
1745350855.832958,192.168.100.5,192.168.100.4,TCP,46748,22,PA,142,ssh_brute_force
1745350855.832981,192.168.100.4,192.168.100.5,TCP,22,46716,A,66,ssh_brute_force
